"","Organization","Web"
"1","Vermont Department of Environmental Conservation","http://dec.vermont.gov/"
"2","Lake Champlain Basin Monitoring Program","http://www.lcbp.org/water-environment/data-monitoring/monitoring-programs/"
"3","New Hampshire Department of Environmental Services Volunteer Lake Assessment Program","http://des.nh.gov/organization/divisions/water/wmb/vlap/index.htm"
"4","New Hampshire Department of Environmental Services Beaches/Lakes Program","?"
"5","New Hampshire Department of Environmental Services Drinking Water Program","http://des.nh.gov/organization/divisions/water/dwgb/index.htm"
"6","University of New Hampshire Center for Freshwater Biology","http://cfb.unh.edu/"
"7","University of New Hampshire Cooperative Extension","http://extension.unh.edu/"
"8","Lebanon Public Water Supply","http://dpw.lebnh.net/home/water"
"9","Manchester Public Water Supply","http://waterandsewer.townofmanchester.org/"
"10","Merideth Public Water Supply","http://www.meredithnh.org/Joomla/index.php/town-departments-26/water-a-sewer"
"11","Pennichuck Water Works New Hampshire","http://www.pennichuck.com/"
"12","Wakefield New Hampshire Lakes Collaborative","?"
"13","Maine Department of Environmental Protection Lakes Program","http://www.maine.gov/dep/water/lakes/"
"14","Dover-Foxcroft Water District","https://www.facebook.com/DFWaterDistrict/"
"15","Massachusetts Department of Environmental Protection Watershed and Drinking Water Programs","?"
"16","University of Massachusetts Amherst Department of Civil Engineering","https://cee.umass.edu/"
"17","Abbington and Rockland Joint Water District","http://www.abingtonma.gov/water-department"
"18","Abbington and Rockland Joint Water District","http://rockland-ma.gov/town-departments/water-department/"
"19","Charles River Watershed Association","http://www.crwa.org/"
"20","University of Rhode Island Watershed Watch","http://web.uri.edu/watershedwatch/"
"21","New England Interstate Water Pollution Control Commission","http://www.neiwpcc.org/"
"22","United States Environmental Protection Agency: Atlantic Ecology Division","https://www.epa.gov/aboutepa/about-atlantic-ecology-division-aed-epas-national-health-and-environmental-effects-research"
"23","Conncecticut Department of Energy and Environmental Protection: Ambient Monitoring Program","?"
"24","Conncecticut Federation of Lakes","http://www.ctlakes.org/"
"25","United States Environmental Protection Agency: Mid-Continent Ecology Division","https://www.epa.gov/aboutepa/about-mid-continent-ecology-division-med-epas-national-health-and-environmental-effects"
"26","United States Geological Survey","?"
"27","Lim-Tex, LLC","http://lim-tex.com/"
"28","Eastern Analytical, Inc.","http://easternanalytical.com/"
"29","Penobscot Nation","https://www.penobscotnation.org/"
"30","White Pond Lake Association","?"
"31","Candlewood Lake Authority","http://www.candlewoodlakeauthority.org/"
"32","Lake Attitash Association","http://lakeattitash.org/"
"33","Esperanza Academy","http://www.esperanzaacademy.org/"
